,LBL,Count
89,busycon spp.,1
90,cabira incerta,122
91,caenis spp.,4
92,callianassa setimanus,1
93,callinectes sapidus,12
94,campeloma decisum,3
95,capitella capitata complex,10
96,capitellidae,2
97,capitellides jonesi,31
98,capitellides sp.,1
99,capitomastus aciculatus,1
100,caprella equilibra,3
101,caprella penantis,31
102,carazziella hobsonae,40
103,carinoma tremaphoros,1176
104,carinomella lactea,4
105,cassidinidea ovalis,27
106,caulleriella venefica,15
107,cerapus tubularis,117
108,ceratonereis irritabilis,1
109,ceratopogonidae,34
110,ceriantheopsis americanus,13
111,cerithiopsis greeni,1
112,cernotina spp.,1
113,chaetopterus variopedatus,61
114,chaoborus albatus,1
115,chaoborus punctipennis,175
116,chaoborus spp.,7
117,chiridotea almyra,140
118,chiridotea arenicola,5
119,chiridotea caeca,8
120,chiridotea nigrescens,7
121,chironomidae,183
122,chironomidae pupae,45
123,chironomini,6
124,chironomus spp.,299
125,cipangopaludina chinensis,2
126,cirratulidae,4
127,cirrophorus furcatus,5
128,cirrophorus lyriformis,5
129,cladotanytarsus spp.,4
130,cladotanytarsus spp. b epler,3
131,cladotanytarsus viridiventris,3
132,clinotanypus pinguis,116
133,clymenella torquata,272
134,coelotanypus spp.,820
135,coenagrionidae,10
136,corbicula fluminea,218
137,corophium spp.,6
138,cossuridae,7
139,crangon septemspinosa,9
140,crassispira ostrearum,3
141,crassostrea virginica,17
142,cratena pilata,10
143,crepidula fornicata,21
144,crepidula plana,1
145,crepidula spp.,1
146,cricotopus bicinctus,2
147,cricotopus sylvestris,2
148,cricotopus/orthocladius grp.,1
149,cryptochironomus fulvus,97
150,cryptochironomus parafulvus,6
151,cryptochironomus spp.,62
152,culicidae,1
153,curculionidae,1
154,cyathura burbancki,30
155,cyathura polita,1672
156,cyclaspis varians,162
157,cylichnella bidentata,27
158,cymadusa compta,12
159,cyrnellus fraternus,6
160,cyrnellus spp.,1
161,cyrtopleura costata,5
162,decapoda,5
163,demonax microphthalmus,41
164,dero spp.,40
165,diadumene leucolena,64
166,dicrotendipes nervosus,14
167,dicrotendipes spp.,3
168,diopatra cuprea,33
169,dipolydora commensalis,1
170,donax variabilis,2
171,doridella obscura,54
172,dorvillea rudolphi,10
173,dosinia discus,2
174,drilonereis longa,43
175,drilonereis spp.,1
176,dubiraphia spp.,2
177,dugesia spp.,8
178,dugesia tigrina,11
179,dulichiella appendiculata,4
180,dyspanopeus sayi,2
181,echinoidea,5
182,edotea triloba,683
183,edwardsia elegans,429
184,elasmopus laevis,14
185,elliptio complanata,4
186,elmidae,2
187,empididae,2
188,enchytraeidae,30
189,ensis directus,50
190,eobrolgus spinosus,1
191,ephemeroptera,2
192,epitonium rupicola,18
193,epitonium spp.,2
194,erichsonella attenuata,9
195,erichsonella filiformis,13
196,ericthonius brasiliensis,60
197,eteone foliosa,30
198,eteone heteropoda,1110
199,eteone lactea,26
200,eteone longa,2
201,euceramus praelongus,13
202,euclymene zonalis,136
203,eumida sanguinea,1
204,euplana gracilis,8
205,eurypanopeus depressus,11
206,exogone dispar,19
207,exosphaeroma spp.,4
208,ferrissia spp.,7
209,gammarus daiberi,273
210,gammarus fasciatus,5
211,gammarus palustris,2
212,gammarus spp.,94
213,gammarus tigrinus,4
214,gastropoda,74
215,gemma gemma,514
216,genetyllis castanea,1
217,geukensia demissa,129
218,girardia tigrina,5
219,gitanopsis spp.,4
220,glycera americana,260
221,glycera capitata,1
222,glycera dibranchiata,322
223,glycera sphyrabrancha,1
224,glycera spp.,43
225,glycinde solitaria,2543
226,glyptotendipes spp.,1
227,gomphidae,2
228,gomphus spp.,1
229,goniobasis virginica,12
230,grandidierella spp.,15
231,gyptis crypta,13
232,gyraulus spp.,9
233,haloclava producta,2
234,haminoea solitaria,249
235,hargeria rapax,41
236,harnischia spp.,9
237,hauchiella sp. a kritzler,1
238,hemichordata,126
239,hemipodus roseus,1
240,hermundura americana,13
241,hermundura fauveli,3
242,heteromastus filiformis,2466
243,hexagenia limbata,3
244,hexagenia spp.,53
245,hexapanopeus angustifrons,9
246,hirudinea,31
247,hobsonia florida,178
248,holothuroidea,1
249,hutchinsoniella macracantha,1
250,hyalella azteca,2
251,hydracarina,1
252,hydrobia spp.,1
253,hydrobia truncata,16
254,hydrobiidae,78
255,hydroides dianthus,11
256,hydroides protulicola,1
257,hydroporini spp.,1
258,hydroptila spp.,4
259,idotea balthica,1
260,idotea spp.,1
261,ilyanassa obsoleta,3
262,ilyodrilus templetoni,95
263,ischadium recurvum,20
264,isochaetides freyi,20
265,kiefferulus spp.,1
266,kurtziella atrostyla,12
267,kurtziella cerina,1
268,labrundinia spp.,1
269,laeonereis culveri,212
270,laevapex fuscus,5
271,laevapex spp.,1
272,leitoscoloplos fragilis,22
273,leitoscoloplos robustus,199
274,leitoscoloplos spp.,926
275,lembos smithi,3
276,lepidactylus dytiscus,152
277,lepidametria commensalis,24
278,lepidonotus sublevis,47
279,lepidonotus variabilis,5
280,leptoceridae,1
281,leptocheirus plumulosus,1656
282,leptochela serratorbita,1
283,leptochelia dubia,1
284,leptognathia caeca,1
285,leptosynapta tenuis,251
286,leucon americanus,821
287,leucothoidae,3
288,levinsenia gracilis,1
289,limnodrilus cervix,1
290,limnodrilus hoffmeisteri,72
291,limnodrilus udekemianus,1
292,limulus polyphemus,1
293,liodessus flavicollis,1
294,lioplax subcarinata,1
295,lipiniella spp.,1
296,listriella barnardi,364
297,listriella clymenellae,220
298,littoridinops tenuipes,166
299,loimia medusa,757
300,loimia viridis,1
301,lumbriculidae,1
302,lumbrineridae,2
303,lymnaeidae,1
304,lyonsia hyalina,85
305,lysidice unicornis,1
306,lysilla alba,7
307,macoma balthica,1502
308,macoma mitchelli,2214
309,macoma spp.,9
310,macoma tenta,150
311,magelona spp.,30
312,maldanidae,42
313,mallochohelea spp.,1
314,malmgreniella taylori,87
315,manayunkia aestuarina,4
316,mancocuma stellifera,1
317,marenzelleria viridis,1827
318,marphysa sanguinea,4
319,mediomastus ambiseta,1886
320,melinna maculata,18
321,melita nitida,485
322,melita spp.,1
323,mellita quinquiesperforata,3
324,menetus dilatatus,1
325,mercenaria mercenaria,62
326,microdeutopus gryllotalpa,4
327,microphiopholis atra,214
328,microphthalmus aberrans,4
329,microphthalmus sczelkowii,5
330,microphthalmus spp.,6
331,microprotopus raneyi,29
332,micrura leidyi,412
333,molgula lutulenta,62
334,molgula manhattensis,63
335,monocorophium acherusicum,6
336,monocorophium insidiosum,1
337,monocorophium tuberculatum,78
338,monticellina dorsobranchialis,87
339,mucrogammarus mucronatus,15
340,mulinia lateralis,1171
341,musculium spp.,11
342,musculium transversum,33
343,mya arenaria,48
344,mysella planulata,30
345,mysidae,14
346,mystides borealis,1
347,mytilidae,11
348,mytilopsis leucophaeata,253
349,mytilus edulis,13
350,nais variabilis,1
351,nanocladius spp.,1
352,nassarius spp.,3
353,nassarius trivittatus,17
354,nassarius vibex,46
355,natarsia spp.,1
356,naticidae,1
357,neanthes arenaceodentata,18
358,neanthes succinea,3109
359,nectopsyche spp.,1
360,nemertina,1294
361,neomysis americana,59
362,neorhabdocela,3
363,nephtyidae,5
364,nephtys bucera,10
365,nephtys incisa,8
366,nephtys picta,238
367,nephtys spp.,1
368,nereididae,18
369,nereis grayi,7
370,nereis spp.,1
371,no organisms present,279
372,notomastus hemipodus,1
373,notomastus sp. a ewing,160
374,notomastus spp.,1
375,nucula proxima,108
376,nudibranchia,15
377,odonata,3
378,odontosyllis fulgurans,3
379,odostomia engonia,74
380,odostomia spp.,103
381,oecetis cf. parva,1
382,oecetis conspicua,1
383,oecetis furva group,1
384,oecetis inconspicua,5
385,oecetis spp.,16
386,ogyrides alphaerostris,177
387,oligochaeta,424
388,onuphis eremita,2
389,ophelia denticulata,1
390,orbiniidae,2
391,orthocladiinae,4
392,orthotrichia spp.,1
393,ovalipes ocellatus,1
394,owenia fusiformis,68
395,oxyurostylis smithi,204
396,pagurus acadianus,3
397,pagurus annulipes,1
398,pagurus longicarpus,8
399,pagurus pubescens,3
400,pagurus spp.,10
401,palaemonetes pugio,3
402,palaemonidae,1
403,pandora trilineata,5
404,panopeus herbstii,10
405,paracaprella tenuis,65
406,paracerceis caudata,1
407,parachironomus spp.,2
408,paradoneis sp. b morris,7
409,parahaustorius longimerus,2
410,parahesione luteola,338
411,parametopella cypris,20
412,parametriocnemus spp.,1
413,paranais litoralis,2
414,paranais spp.,1
415,paranaitis speciosa,6
416,parandalia tricuspis,115
417,paraonidae,2
418,paraonis fulgens,100
419,parapionosyllis longicirrata,11
420,paraprionospio pinnata,1810
421,parvilucina crenella,324
422,pectinaria gouldii,646
423,pentamera pulcherrima,1
424,periploma spp.,2
425,petricola pholadiformis,9
426,pholoe minuta,1
427,phoronis spp.,1165
428,photis pollex,11
429,photis reinhardi,4
430,photis spp.,2
431,phyllodoce arenae,276
432,phyllodoce fragilis,1
433,phyllodocidae,2
434,physa spp.,2
435,physella spp.,4
436,pilargidae,1
437,pinnixa chaetopterana,22
438,pinnixa lunzi,1
439,pinnixa retinens,23
440,pinnixa sayana,12
441,pinnixa spp.,44
442,pisidium compressum,1
443,pisidium spp.,32
444,pista cristata,7
445,pista palmata,1
446,pista quadrilobata,1
447,planorbidae,2
448,platynereis dumerilii,1
449,pleurocera spp.,1
450,pleusymtes glaber,17
451,podarke obscura,46
452,podarkeopsis levifuscina,661
453,polinices duplicatus,20
454,polinices spp.,1
455,polycirrus eximius,33
456,polydora cornuta,511
457,polydora websteri,21
458,polygordius spp.,3
459,polymesoda caroliniana,3
460,polynoidae,2
461,polyonyx gibbesi,9
462,polypedilum convictum,42
463,polypedilum halterale group,20
464,polypedilum scalaenum group,3
465,polypedilum simulans/digitifer,1
466,polypedilum spp.,22
467,potamothrix vejdovskyi,2
468,prionospio heterobranchia,13
469,prionospio perkinsi,174
470,pristina osborni,1
471,pristinella osborni,52
472,probezzia spp.,6
473,procladius spp.,69
474,procladius sublettei,44
475,prostoma rubrum,1
476,protodrilus spp.,2
477,protohaustorius deichmannae,5
478,protohaustorius wigleyi,7
479,prunum roscidum,2
480,pseudeurythoe paucibranchiata,137
481,pseudochironomus fulviventris,4
482,pseudohaustorius caroliniensis,3
483,pseudoleptocuma minor,2
484,pseudopotamilla reniformis,1
485,ptilanthura tenuis,77
486,pycnogonida,5
487,pyramidellidae,4
488,quistadrilus multisetosus,3
489,rangia cuneata,1059
490,rheotanytarsus spp.,2
491,rhepoxynius epistomus,77
492,rhithropanopeus harrisii,176
493,rictaxis punctostriatus,519
494,sabaco elongatus,24
495,sabellaria vulgaris,51
496,saccoglossus kowalevskii,119
497,samythella elongata,1
498,sayella chesapeakea,78
499,scolelepis bousfieldi,17
500,scolelepis spp.,4
501,scolelepis squamata,3
502,scolelepis texana,162
503,scoletoma fragilis,1
504,scoletoma tenuis,8
505,scoloplos rubra,61
506,scoloplos texana,1
507,seila adamsi,1
508,semele purpurascens,1
509,sigalion arenicola,1
510,sigambra bassi,27
511,sigambra spp.,1
512,sigambra tentaculata,517
513,siliqua costata,1
514,skeneopsis planorbis,2
515,solemya velum,6
516,sphaeriidae,19
517,sphaerium spp.,13
518,sphaerodoropsis spp.,1
519,sphaeroma quadridentatum,9
520,sphaerosyllis spp.,2
521,sphaerosyllis taylori,10
522,spio setosa,4
523,spiochaetopterus costarum,725
524,spionidae,1
525,spiophanes bombyx,405
526,spisula solidissima,10
527,squilla empusa,3
528,stenelmis crenata,1
529,stenelmis spp.,2
530,stenopleustes gracilis,1
531,stenothoe minuta,10
532,stenothoe spp.,1
533,stephensoniana spp.,2
534,sthenelais boa,6
535,sthenelais spp.,1
536,stictochironomus caffarius,1
537,stictochironomus spp. group,5
538,streblospio benedicti,3188
539,streptosyllis arenae,3
540,streptosyllis pettiboneae,11
541,stylaria lacustris,4
542,stylochus ellipticus,426
543,syllidae,6
544,syllides fulva,5
545,syllides spp.,3
546,syllides verrilli,1
547,synidotea laevidorsalis,1
548,synidotea laticauda,3
549,synidotea spp.,30
550,tagelus divisus,44
551,tagelus plebeius,46
552,tanaidacea,4
553,tanypus spp.,19
554,tanypus stellatus,1
555,tanytarsini,6
556,tanytarsus spp.,2
557,tellina agilis,204
558,tellinidae,29
559,terebellidae,2
560,terebra dislocata,3
561,tharyx sp. a morris,354
562,tharyx spp.,9
563,thyonella pervicax,1
564,trachypenaeus constrictus,3
565,travisia spp.,14
566,trichoptera,31
567,tubifex spp.,1
568,tubificidae,1
569,tubificidae imm. with capilliform chaetae,5
570,tubificidae imm. without capilliform chaetae,760
571,tubificoides spp.,3606
572,turbellaria,155
573,turbonilla interrupta,89
574,turbonilla spp.,15
575,turridae,2
576,uncinais uncinata,2
577,unciola dissimilis,1
578,unciola irrorata,10
579,unciola serrata,49
580,unciola spp.,2
581,unionidae,9
582,upogebia affinis,25
583,urnatella gracilis,1
584,urosalpinx cinerea,3
585,valvata sincera,1
586,valvata spp.,2
587,viviparidae,1
588,viviparus georgianus,3
589,xanthidae,8
590,xenochironomus spp.,13
591,yoldia limatula,32
