LBL,SUM,MEAN,COUNT
astyris lunata,0.034,0.002266666666666667,15
aulodrilus pigueti,0.06,0.001090909090909091,55
autolytus spp.,0.001,0.001,1
axarus spp.,0.034300000000000004,0.011433333333333335,3
baetidae,0.001,0.0003333333333333333,3
baetis spp.,0.003,0.0015,2
balanoglossus aurantiacus,0.137,0.015222222222222224,9
balanus improvisus,3.4406,0.04047764705882353,85
balanus spp.,0.00015000000000000001,7.500000000000001e-05,2
barnea truncata,0.036,0.0029999999999999996,12
basommatophora,0.0001,0.0001,1
batea catharinensis,0.014,0.0014,10
bathyporeia parkeri,0.001,0.001,1
bellamya japonica,0.727,0.727,1
bezzia spp.,0.0007,0.00023333333333333333,3
bhawania heteroseta,0.192,0.0012631578947368421,152
biffarius biformis,0.006,0.001,6
bivalvia,0.1017,0.003178125,32
boccardiella hamata,0.001,0.001,1
boccardiella ligerica,0.16375,0.0013995726495726495,117
boonea impressa,0.0001,5e-05,2
brachyura,0.006,0.001,6
branchiodrilus spp.,0.001,0.001,1
branchiostoma caribaeum,2.3507000000000002,0.011753500000000002,200
branchiura sowerbyi,1.2422,0.008809929078014185,141
brania clavata,0.03805,0.0010013157894736841,38
brania wellfleetensis,0.122,0.0010082644628099174,121
bratislavia unidentata,0.001,0.001,1
busycon canaliculatum,0.923,0.923,1
busycon carica,0.001,0.001,1
busycon spp.,0.001,0.001,1
cabira incerta,0.131,0.0010737704918032788,122
caenis spp.,0.0007,0.000175,4
callianassa setimanus,0.001,0.001,1
callinectes sapidus,0.0489,0.004075,12
campeloma decisum,3.7371,1.2457,3
capitella capitata complex,0.012,0.0012000000000000001,10
capitellidae,0.0018,0.0009,2
capitellides jonesi,0.032,0.001032258064516129,31
capitellides sp.,0.015,0.015,1
capitomastus aciculatus,0.001,0.001,1
caprella equilibra,0.003,0.001,3
caprella penantis,0.046,0.0014838709677419354,31
carazziella hobsonae,0.04,0.001,40
carinoma tremaphoros,1.64335,0.001397406462585034,1176
carinomella lactea,0.0013,0.000325,4
cassidinidea ovalis,0.01895,0.0007018518518518519,27
caulleriella venefica,0.015,0.001,15
cerapus tubularis,0.1119,0.0009564102564102564,117
ceratonereis irritabilis,0.002,0.002,1
ceratopogonidae,0.025750000000000002,0.0007573529411764706,34
ceriantheopsis americanus,0.139,0.010692307692307694,13
cerithiopsis greeni,0.001,0.001,1
cernotina spp.,5e-05,5e-05,1
chaetopterus variopedatus,1.621,0.02657377049180328,61
chaoborus albatus,0.0002,0.0002,1
chaoborus punctipennis,0.14304,0.0008173714285714286,175
chaoborus spp.,0.01075,0.0015357142857142857,7
chiridotea almyra,0.1118,0.0007985714285714285,140
chiridotea arenicola,0.005,0.001,5
chiridotea caeca,0.0211,0.0026375,8
chiridotea nigrescens,0.016,0.002285714285714286,7
chironomidae,0.64286,0.003512896174863388,183
chironomidae pupae,0.02095,0.00046555555555555554,45
chironomini,0.00205,0.0003416666666666667,6
chironomus spp.,2.13239,0.0071317391304347826,299
cipangopaludina chinensis,2.869,1.4345,2
cirratulidae,0.0030499999999999998,0.0007624999999999999,4
cirrophorus furcatus,0.006,0.0012000000000000001,5
cirrophorus lyriformis,0.005,0.001,5
cladotanytarsus spp.,0.0002,5e-05,4
cladotanytarsus spp. b epler,0.00015000000000000001,5e-05,3
cladotanytarsus viridiventris,0.00015000000000000001,5e-05,3
clinotanypus pinguis,0.155,0.001336206896551724,116
clymenella torquata,3.8575,0.014181985294117646,272
coelotanypus spp.,1.04895,0.0012792073170731708,820
coenagrionidae,0.0028,0.00028,10
corbicula fluminea,171.57155,0.7870254587155964,218
corophium spp.,0.006,0.001,6
cossuridae,0.007,0.001,7
crangon septemspinosa,0.0238,0.0026444444444444445,9
crassispira ostrearum,0.008,0.0026666666666666666,3
crassostrea virginica,13.7372,0.8080705882352941,17
cratena pilata,0.0016,0.00016,10
crepidula fornicata,0.31,0.014761904761904763,21
crepidula plana,0.004,0.004,1
crepidula spp.,5e-05,5e-05,1
cricotopus bicinctus,0.0001,5e-05,2
cricotopus sylvestris,0.0001,5e-05,2
cricotopus/orthocladius grp.,5e-05,5e-05,1
cryptochironomus fulvus,0.1,0.0010309278350515464,97
cryptochironomus parafulvus,0.006,0.001,6
cryptochironomus spp.,0.00385,6.209677419354839e-05,62
culicidae,0.0003,0.0003,1
curculionidae,5e-05,5e-05,1
cyathura burbancki,0.132,0.0044,30
cyathura polita,11.0074,0.006583373205741627,1672
cyclaspis varians,0.1027,0.0006339506172839506,162
cylichnella bidentata,0.029,0.001074074074074074,27
cymadusa compta,0.01515,0.0012625,12
cyrnellus fraternus,0.00545,0.0009083333333333334,6
cyrnellus spp.,0.0003,0.0003,1
cyrtopleura costata,0.244,0.048799999999999996,5
decapoda,0.005,0.001,5
demonax microphthalmus,0.05345,0.0013036585365853658,41
dero spp.,0.04,0.001,40
diadumene leucolena,0.4929,0.0077015625,64
dicrotendipes nervosus,0.017,0.0012142857142857144,14
dicrotendipes spp.,0.00015000000000000001,5e-05,3
diopatra cuprea,0.235,0.007121212121212121,33
dipolydora commensalis,0.0005,0.0005,1
donax variabilis,0.002,0.001,2
doridella obscura,0.03995,0.0007398148148148148,54
dorvillea rudolphi,0.011,0.0010999999999999998,10
dosinia discus,0.121,0.0605,2
drilonereis longa,0.12840000000000001,0.002986046511627907,43
drilonereis spp.,0.002,0.002,1
dubiraphia spp.,0.0009000000000000001,0.00045000000000000004,2
dugesia spp.,0.00345,0.00043125,8
dugesia tigrina,0.00815,0.0007409090909090908,11
dulichiella appendiculata,0.004,0.001,4
dyspanopeus sayi,0.012,0.006,2
echinoidea,0.005,0.001,5
edotea triloba,0.79425,0.0011628843338213762,683
edwardsia elegans,0.50225,0.0011707459207459206,429
elasmopus laevis,0.015050000000000001,0.001075,14
elliptio complanata,12.346499999999999,3.0866249999999997,4
elmidae,0.002,0.001,2
empididae,0.004,0.002,2
enchytraeidae,0.02905,0.0009683333333333333,30
ensis directus,5.9923,0.11984600000000001,50
eobrolgus spinosus,0.001,0.001,1
ephemeroptera,0.002,0.001,2
epitonium rupicola,0.01315,0.0007305555555555556,18
epitonium spp.,0.002,0.001,2
erichsonella attenuata,0.0568,0.006311111111111111,9
erichsonella filiformis,0.030699999999999998,0.0023615384615384614,13
ericthonius brasiliensis,0.065,0.0010833333333333333,60
eteone foliosa,0.0618,0.00206,30
eteone heteropoda,0.85055,0.0007662612612612613,1110
eteone lactea,0.034,0.0013076923076923079,26
eteone longa,0.002,0.001,2
euceramus praelongus,0.027,0.002076923076923077,13
euclymene zonalis,2.735,0.02011029411764706,136
eumida sanguinea,0.001,0.001,1
euplana gracilis,0.0039000000000000003,0.00048750000000000003,8
eurypanopeus depressus,0.475,0.04318181818181818,11
exogone dispar,0.019,0.001,19
exosphaeroma spp.,0.004,0.001,4
ferrissia spp.,0.0029000000000000002,0.0004142857142857143,7
gammarus daiberi,1.6399,0.006006959706959707,273
gammarus fasciatus,0.04725,0.00945,5
gammarus palustris,0.002,0.001,2
gammarus spp.,0.16375,0.0017420212765957449,94
gammarus tigrinus,0.005,0.00125,4
gastropoda,0.1217,0.0016445945945945946,74
gemma gemma,29.771250000000002,0.05792071984435798,514
genetyllis castanea,0.001,0.001,1
geukensia demissa,1.49245,0.011569379844961241,129
girardia tigrina,0.0014500000000000001,0.00029,5
gitanopsis spp.,0.004,0.001,4
glycera americana,4.1455,0.01594423076923077,260
glycera capitata,0.003,0.003,1
glycera dibranchiata,4.5778,0.014216770186335404,322
glycera sphyrabrancha,0.05,0.05,1
glycera spp.,0.04185,0.0009732558139534883,43
glycinde solitaria,3.18799,0.0012536335037357453,2543
glyptotendipes spp.,0.002,0.002,1
gomphidae,0.037000000000000005,0.018500000000000003,2
gomphus spp.,0.003,0.003,1
goniobasis virginica,2.8733,0.23944166666666666,12
grandidierella spp.,0.013000000000000001,0.0008666666666666667,15
gyptis crypta,0.013000000000000001,0.001,13
gyraulus spp.,0.0033,0.00036666666666666667,9
haloclava producta,0.032,0.016,2
haminoea solitaria,0.3318,0.0013325301204819276,249
hargeria rapax,0.02785,0.0006792682926829268,41
harnischia spp.,0.0014,0.00015555555555555556,9
hauchiella sp. a kritzler,0.001,0.001,1
hemichordata,0.375,0.002976190476190476,126
hemipodus roseus,0.0013,0.0013,1
hermundura americana,0.0654,0.005030769230769231,13
hermundura fauveli,0.0029,0.0009666666666666666,3
heteromastus filiformis,12.12705,0.004917700729927007,2466
hexagenia limbata,0.0022500000000000003,0.0007500000000000001,3
hexagenia spp.,1.5327,0.028918867924528302,53
hexapanopeus angustifrons,0.627,0.06966666666666667,9
hirudinea,0.1328,0.004283870967741936,31
hobsonia florida,0.20075,0.001127808988764045,178
holothuroidea,0.001,0.001,1
hutchinsoniella macracantha,0.001,0.001,1
hyalella azteca,0.0039,0.00195,2
hydracarina,5e-05,5e-05,1
hydrobia spp.,0.0001,0.0001,1
hydrobia truncata,0.049550000000000004,0.0030968750000000002,16
hydrobiidae,0.3002,0.003848717948717949,78
hydroides dianthus,0.017,0.0015454545454545456,11
hydroides protulicola,0.001,0.001,1
hydroporini spp.,0.0002,0.0002,1
hydroptila spp.,0.0006000000000000001,0.00015000000000000001,4
idotea balthica,0.001,0.001,1
idotea spp.,0.0001,0.0001,1
ilyanassa obsoleta,0.1293,0.0431,3
ilyodrilus templetoni,0.1,0.0010526315789473684,95
ischadium recurvum,10.867500000000001,0.543375,20
isochaetides freyi,0.108,0.0054,20
kiefferulus spp.,0.001,0.001,1
kurtziella atrostyla,0.015,0.00125,12
kurtziella cerina,0.001,0.001,1
labrundinia spp.,0.001,0.001,1
laeonereis culveri,0.757,0.0035707547169811322,212
laevapex fuscus,0.0028,0.00056,5
laevapex spp.,0.0023,0.0023,1
leitoscoloplos fragilis,0.1295,0.005886363636363637,22
leitoscoloplos robustus,1.9075,0.009585427135678393,199
leitoscoloplos spp.,3.54859,0.003832170626349892,926
lembos smithi,0.003,0.001,3
lepidactylus dytiscus,0.86045,0.005660855263157895,152
lepidametria commensalis,0.038,0.0015833333333333333,24
lepidonotus sublevis,0.049,0.0010425531914893618,47
lepidonotus variabilis,0.005,0.001,5
leptoceridae,0.0007,0.0007,1
leptocheirus plumulosus,8.49025,0.005126962560386473,1656
leptochela serratorbita,0.001,0.001,1
leptochelia dubia,5e-05,5e-05,1
leptognathia caeca,0.001,0.001,1
leptosynapta tenuis,0.9555,0.003806772908366534,251
leucon americanus,0.81245,0.0009895858708891595,821
leucothoidae,0.003,0.001,3
levinsenia gracilis,0.013,0.013,1
limnodrilus cervix,0.001,0.001,1
limnodrilus hoffmeisteri,0.45475,0.006315972222222222,72
limnodrilus udekemianus,0.001,0.001,1
limulus polyphemus,0.0007,0.0007,1
liodessus flavicollis,0.0003,0.0003,1
lioplax subcarinata,1.455,1.455,1
lipiniella spp.,5e-05,5e-05,1
listriella barnardi,0.31015,0.0008520604395604396,364
listriella clymenellae,0.2141,0.0009731818181818182,220
littoridinops tenuipes,0.1903,0.0011463855421686747,166
loimia medusa,6.54225,0.008642338177014531,757
loimia viridis,0.001,0.001,1
lumbriculidae,5e-05,5e-05,1
lumbrineridae,0.002,0.001,2
lymnaeidae,0.0004,0.0004,1
lyonsia hyalina,0.08105,0.0009535294117647058,85
lysidice unicornis,0.001,0.001,1
lysilla alba,0.011,0.0015714285714285713,7
macoma balthica,112.3452,0.07479707057256992,1502
macoma mitchelli,14.966,0.006759710930442637,2214
macoma spp.,0.011,0.0012222222222222222,9
macoma tenta,2.194,0.014626666666666666,150
magelona spp.,0.048,0.0016,30
maldanidae,0.23745000000000002,0.005653571428571429,42
mallochohelea spp.,5e-05,5e-05,1
malmgreniella taylori,0.115,0.0013218390804597701,87
manayunkia aestuarina,0.0012000000000000001,0.00030000000000000003,4
mancocuma stellifera,0.001,0.001,1
marenzelleria viridis,22.70245,0.012426081007115489,1827
marphysa sanguinea,0.10999999999999999,0.027499999999999997,4
mediomastus ambiseta,5.5808,0.002959066808059385,1886
melinna maculata,0.0494,0.0027444444444444443,18
melita nitida,0.4143,0.0008542268041237113,485
melita spp.,0.001,0.001,1
mellita quinquiesperforata,0.157,0.052333333333333336,3
menetus dilatatus,0.0004,0.0004,1
mercenaria mercenaria,22.30355,0.3597346774193549,62
microdeutopus gryllotalpa,0.006,0.0015,4
microphiopholis atra,2.265,0.01058411214953271,214
microphthalmus aberrans,0.004,0.001,4
microphthalmus sczelkowii,0.00125,0.00025,5
microphthalmus spp.,0.00505,0.0008416666666666667,6
microprotopus raneyi,0.02245,0.0007741379310344828,29
micrura leidyi,3.3411,0.008109466019417476,412
molgula lutulenta,1.2,0.01935483870967742,62
molgula manhattensis,2.98815,0.04743095238095238,63
monocorophium acherusicum,0.006,0.001,6
monocorophium insidiosum,0.001,0.001,1
monocorophium tuberculatum,0.09,0.0011538461538461537,78
monticellina dorsobranchialis,0.099,0.0011379310344827587,87
mucrogammarus mucronatus,0.01705,0.0011366666666666667,15
mulinia lateralis,10.67333,0.009114713919726729,1171
musculium spp.,0.0037,0.0003363636363636364,11
musculium transversum,0.11560000000000001,0.0035030303030303034,33
mya arenaria,3.9697,0.08270208333333333,48
mysella planulata,0.03,0.001,30
mysidae,0.0026,0.00018571428571428572,14
mystides borealis,0.001,0.001,1
mytilidae,0.00125,0.00011363636363636364,11
mytilopsis leucophaeata,6.17905,0.024423122529644268,253
mytilus edulis,0.33505,0.025773076923076923,13
nais variabilis,5e-05,5e-05,1
nanocladius spp.,0.001,0.001,1
nassarius spp.,0.035250000000000004,0.011750000000000002,3
nassarius trivittatus,0.4112,0.02418823529411765,17
nassarius vibex,1.12375,0.024429347826086956,46
natarsia spp.,0.001,0.001,1
naticidae,0.0002,0.0002,1
neanthes arenaceodentata,0.018000000000000002,0.001,18
neanthes succinea,27.43165,0.008823303312962367,3109
nectopsyche spp.,5e-05,5e-05,1
nemertina,3.68265,0.002845942812982999,1294
neomysis americana,0.0511,0.0008661016949152542,59
neorhabdocela,0.0078000000000000005,0.0026000000000000003,3
nephtyidae,0.007,0.0014,5
nephtys bucera,1.061,0.1061,10
nephtys incisa,0.103,0.012875,8
nephtys picta,1.7503,0.007354201680672269,238
nephtys spp.,0.001,0.001,1
nereididae,0.018000000000000002,0.001,18
nereis grayi,0.023,0.0032857142857142855,7
nereis spp.,0.009,0.009,1
no organisms present,0.0,0.0,279
notomastus hemipodus,0.003,0.003,1
notomastus sp. a ewing,3.237,0.02023125,160
notomastus spp.,0.01,0.01,1
nucula proxima,0.4331,0.004010185185185185,108
nudibranchia,0.015,0.001,15
odonata,0.0020499999999999997,0.0006833333333333332,3
odontosyllis fulgurans,0.003,0.001,3
odostomia engonia,0.01535,0.00020743243243243243,74
odostomia spp.,0.1021,0.0009912621359223302,103
oecetis cf. parva,0.0002,0.0002,1
oecetis conspicua,0.001,0.001,1
oecetis furva group,0.0012,0.0012,1
oecetis inconspicua,0.0043,0.00086,5
oecetis spp.,0.00295,0.000184375,16
ogyrides alphaerostris,0.53785,0.0030387005649717518,177
oligochaeta,4.54321,0.010715117924528303,424
onuphis eremita,0.002,0.001,2
ophelia denticulata,0.001,0.001,1
orbiniidae,0.0018,0.0009,2
orthocladiinae,0.004,0.001,4
orthotrichia spp.,5e-05,5e-05,1
ovalipes ocellatus,0.367,0.367,1
owenia fusiformis,0.10200000000000001,0.0015,68
oxyurostylis smithi,0.187,0.0009166666666666666,204
pagurus acadianus,0.003,0.001,3
pagurus annulipes,0.001,0.001,1
pagurus longicarpus,0.063,0.007875,8
pagurus pubescens,0.066,0.022000000000000002,3
pagurus spp.,0.031,0.0031,10
palaemonetes pugio,0.008,0.0026666666666666666,3
palaemonidae,5e-05,5e-05,1
pandora trilineata,0.028,0.0056,5
panopeus herbstii,1.146,0.1146,10
paracaprella tenuis,0.0711,0.0010938461538461538,65
paracerceis caudata,0.0001,0.0001,1
parachironomus spp.,0.00105,0.000525,2
paradoneis sp. b morris,0.012,0.0017142857142857144,7
parahaustorius longimerus,0.022,0.011,2
parahesione luteola,0.18105000000000002,0.0005356508875739646,338
parametopella cypris,0.02,0.001,20
parametriocnemus spp.,5e-05,5e-05,1
paranais litoralis,0.002,0.001,2
paranais spp.,5e-05,5e-05,1
paranaitis speciosa,0.006,0.001,6
parandalia tricuspis,0.731,0.006356521739130434,115
paraonidae,0.002,0.001,2
paraonis fulgens,0.0736,0.000736,100
parapionosyllis longicirrata,0.0098,0.0008909090909090909,11
paraprionospio pinnata,10.63297,0.0058745690607734805,1810
parvilucina crenella,2.42671,0.007489845679012346,324
pectinaria gouldii,1.00307,0.0015527399380804953,646
pentamera pulcherrima,0.001,0.001,1
periploma spp.,0.002,0.001,2
petricola pholadiformis,0.019950000000000002,0.002216666666666667,9
pholoe minuta,0.001,0.001,1
phoronis spp.,4.1312,0.003546094420600858,1165
photis pollex,0.011,0.001,11
photis reinhardi,0.004,0.001,4
photis spp.,0.002,0.001,2
phyllodoce arenae,0.29555,0.0010708333333333334,276
phyllodoce fragilis,0.001,0.001,1
phyllodocidae,0.0021999999999999997,0.0010999999999999998,2
physa spp.,0.0008,0.0004,2
physella spp.,0.004,0.001,4
pilargidae,0.0001,0.0001,1
pinnixa chaetopterana,0.044,0.002,22
pinnixa lunzi,0.001,0.001,1
pinnixa retinens,0.125,0.005434782608695652,23
pinnixa sayana,0.025,0.0020833333333333333,12
pinnixa spp.,0.04445,0.0010102272727272729,44
pisidium compressum,0.0005,0.0005,1
pisidium spp.,0.01745,0.0005453125,32
pista cristata,0.043000000000000003,0.0061428571428571435,7
pista palmata,0.001,0.001,1
pista quadrilobata,0.012,0.012,1
planorbidae,0.00030000000000000003,0.00015000000000000001,2
platynereis dumerilii,0.001,0.001,1
pleurocera spp.,0.001,0.001,1
pleusymtes glaber,0.017,0.001,17
podarke obscura,0.04065,0.0008836956521739131,46
podarkeopsis levifuscina,0.5393,0.0008158850226928896,661
polinices duplicatus,0.525,0.026250000000000002,20
polinices spp.,0.0002,0.0002,1
polycirrus eximius,0.056,0.001696969696969697,33
polydora cornuta,0.43975,0.0008605675146771037,511
polydora websteri,0.036,0.0017142857142857142,21
polygordius spp.,0.003,0.001,3
polymesoda caroliniana,4.383,1.461,3
polynoidae,0.00025,0.000125,2
polyonyx gibbesi,0.117,0.013000000000000001,9
polypedilum convictum,0.042,0.001,42
polypedilum halterale group,0.0034000000000000002,0.00017,20
polypedilum scalaenum group,0.00015000000000000001,5e-05,3
polypedilum simulans/digitifer,5e-05,5e-05,1
polypedilum spp.,0.1742,0.007918181818181817,22
potamothrix vejdovskyi,0.002,0.001,2
prionospio heterobranchia,0.013000000000000001,0.001,13
prionospio perkinsi,0.213,0.0012241379310344827,174
pristina osborni,0.0002,0.0002,1
pristinella osborni,0.067,0.0012884615384615385,52
probezzia spp.,0.00125,0.00020833333333333335,6
procladius spp.,0.04525,0.0006557971014492754,69
procladius sublettei,0.06,0.0013636363636363635,44
prostoma rubrum,0.0008,0.0008,1
protodrilus spp.,0.0001,5e-05,2
protohaustorius deichmannae,0.011,0.0021999999999999997,5
protohaustorius wigleyi,0.03,0.004285714285714286,7
prunum roscidum,0.002,0.001,2
pseudeurythoe paucibranchiata,0.36624999999999996,0.0026733576642335765,137
pseudochironomus fulviventris,0.004,0.001,4
pseudohaustorius caroliniensis,0.005,0.0016666666666666668,3
pseudoleptocuma minor,0.002,0.001,2
pseudopotamilla reniformis,0.001,0.001,1
ptilanthura tenuis,0.0723,0.000938961038961039,77
pycnogonida,0.005,0.001,5
pyramidellidae,0.0005,0.000125,4
quistadrilus multisetosus,0.003,0.001,3
rangia cuneata,1468.0481,1.3862588290840416,1059
rheotanytarsus spp.,0.0001,5e-05,2
rhepoxynius epistomus,0.121,0.0015714285714285713,77
rhithropanopeus harrisii,5.277,0.029982954545454545,176
rictaxis punctostriatus,0.3602,0.0006940269749518305,519
sabaco elongatus,0.038,0.0015833333333333333,24
sabellaria vulgaris,0.133,0.002607843137254902,51
saccoglossus kowalevskii,0.2992,0.0025142857142857146,119
samythella elongata,0.001,0.001,1
sayella chesapeakea,0.0221,0.00028333333333333335,78
scolelepis bousfieldi,0.018000000000000002,0.0010588235294117648,17
scolelepis spp.,0.0022500000000000003,0.0005625000000000001,4
scolelepis squamata,0.003,0.001,3
scolelepis texana,0.2089,0.001289506172839506,162
scoletoma fragilis,0.001,0.001,1
scoletoma tenuis,0.023,0.002875,8
scoloplos rubra,0.1145,0.001877049180327869,61
scoloplos texana,0.0006,0.0006,1
seila adamsi,0.001,0.001,1
semele purpurascens,0.039,0.039,1
sigalion arenicola,0.019,0.019,1
sigambra bassi,0.027,0.001,27
sigambra spp.,0.001,0.001,1
sigambra tentaculata,0.64605,0.001249613152804642,517
siliqua costata,0.003,0.003,1
skeneopsis planorbis,0.002,0.001,2
solemya velum,0.122,0.02033333333333333,6
sphaeriidae,0.02795,0.0014710526315789474,19
sphaerium spp.,0.023,0.0017692307692307693,13
sphaerodoropsis spp.,0.001,0.001,1
sphaeroma quadridentatum,0.01565,0.001738888888888889,9
sphaerosyllis spp.,0.002,0.001,2
sphaerosyllis taylori,0.01,0.001,10
spio setosa,0.0033,0.000825,4
spiochaetopterus costarum,1.33685,0.0018439310344827587,725
spionidae,0.001,0.001,1
spiophanes bombyx,1.701,0.0042,405
spisula solidissima,0.047,0.0047,10
squilla empusa,0.01,0.0033333333333333335,3
stenelmis crenata,0.0009,0.0009,1
stenelmis spp.,0.0001,5e-05,2
stenopleustes gracilis,0.001,0.001,1
stenothoe minuta,0.0092,0.00092,10
stenothoe spp.,0.001,0.001,1
stephensoniana spp.,0.002,0.001,2
sthenelais boa,0.006,0.001,6
sthenelais spp.,0.001,0.001,1
stictochironomus caffarius,5e-05,5e-05,1
stictochironomus spp. group,0.00505,0.00101,5
streblospio benedicti,4.3322,0.001358908406524467,3188
streptosyllis arenae,0.003,0.001,3
streptosyllis pettiboneae,0.011,0.001,11
stylaria lacustris,0.004,0.001,4
stylochus ellipticus,0.3751,0.0008805164319248826,426
syllidae,0.00315,0.000525,6
syllides fulva,0.005,0.001,5
syllides spp.,0.003,0.001,3
syllides verrilli,0.001,0.001,1
synidotea laevidorsalis,0.0059,0.0059,1
synidotea laticauda,0.01395,0.0046500000000000005,3
synidotea spp.,0.288,0.0096,30
tagelus divisus,0.162,0.003681818181818182,44
tagelus plebeius,0.63825,0.013875,46
tanaidacea,0.004,0.001,4
tanypus spp.,0.029,0.0015263157894736842,19
tanypus stellatus,5e-05,5e-05,1
tanytarsini,0.006,0.001,6
tanytarsus spp.,0.002,0.001,2
tellina agilis,0.8190000000000001,0.004014705882352941,204
tellinidae,0.0166,0.0005724137931034483,29
terebellidae,0.00105,0.000525,2
terebra dislocata,0.036000000000000004,0.012000000000000002,3
tharyx sp. a morris,0.4996,0.0014112994350282486,354
tharyx spp.,0.0045000000000000005,0.0005,9
thyonella pervicax,0.001,0.001,1
trachypenaeus constrictus,0.003,0.001,3
travisia spp.,0.114,0.008142857142857143,14
trichoptera,0.0345,0.0011129032258064516,31
tubifex spp.,0.005,0.005,1
tubificidae,0.001,0.001,1
tubificidae imm. with capilliform chaetae,0.00085,0.00016999999999999999,5
tubificidae imm. without capilliform chaetae,2.71942,0.003578184210526316,760
tubificoides spp.,2.81855,0.0007816278424847477,3606
turbellaria,0.17965,0.001159032258064516,155
turbonilla interrupta,0.0919,0.0010325842696629214,89
turbonilla spp.,0.0266,0.0017733333333333331,15
turridae,0.002,0.001,2
uncinais uncinata,0.002,0.001,2
unciola dissimilis,0.0001,0.0001,1
unciola irrorata,0.01,0.001,10
unciola serrata,0.065,0.001326530612244898,49
unciola spp.,0.0002,0.0001,2
unionidae,1.01685,0.11298333333333334,9
upogebia affinis,0.024050000000000002,0.0009620000000000001,25
urnatella gracilis,5e-05,5e-05,1
urosalpinx cinerea,0.003,0.001,3
valvata sincera,0.0003,0.0003,1
valvata spp.,0.00030000000000000003,0.00015000000000000001,2
viviparidae,0.1738,0.1738,1
viviparus georgianus,3.5886,1.1962,3
xanthidae,0.008,0.001,8
xenochironomus spp.,0.04,0.003076923076923077,13
yoldia limatula,0.584,0.01825,32
